Bird Species,Distance Bin,Date,Time,Coordinates,Location,Habitat Type,Time Period,Group Name,Remarks
Yellow-vented Bulbul,Heard,27th Feb (Tuesday),9.08,Latitude: 1.29758 | Longitude: 103.77740,Ridge View Residential College,Urban,9.08 - 9.18,Coppersmith Barbet,Loud sound by leaf blower
Yellow-vented Bulbul,2,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Yellow-vented Bulbul,2,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Yellow-vented Bulbul,2,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Yellow-vented Bulbul,2,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Yellow-vented Bulbul,2,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Yellow-vented Bulbul,2,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Olive-backed Sunbird,3,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Black-naped Oriole,2,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Black-naped Oriole,2,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Black-naped Oriole,2,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Unknown x12,Flyby,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,"circling, 4 with long bodies, white wings with black tips, underside of wings are black"
Bird of prey(?),Flyby,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,"Circling, probably eagle"
Javan Myna,Flyby,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Javan Myna,Flyby,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Black-naped Oriole,Flyby,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Black-naped Oriole,Heard,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Yellow-vented Bulbul,Heard,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Olive-backed Sunbird,Did not land,27th Feb (Tuesday),9.35,Latitude: 1.29758 | Longitude: 103.77733,14A Prince George's Park,Urban,9.35 - 9.45,Coppersmith Barbet,
Javan Myna,1,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Javan Myna,1,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Javan Myna,1,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Javan Myna,1,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Olive-backed Sunbird,1,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Olive-backed Sunbird,Heard,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Black-naped Oriole,Heard,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Black-naped Oriole,Heard,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1042,Latitude: 1.300 | Longitude: 103.770,9 Engineering Dr 1,Urban,1042-1052,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Yellow-vented Bulbul,Flyby,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Yellow-vented Bulbul,Heard,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Yellow-vented Bulbul,Heard,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Rock Pigeon,Heard,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Olive-backed Sunbird,Heard,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Olive-backed Sunbird,Heard,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Black-naped Oriole,Heard,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Black-naped Oriole,Heard,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1103,Latitude: 1.295 | Longitude: 103.770,"Kent Ridge Dr, Beside Ventus",Urban,1103-1113,Pacific Swallow,
Olive-backed Sunbird,Heard,2nd Mar (Friday),1118,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, Opposite Kent Ridge Guild House",Urban,1118-1128,Pacific Swallow,
Olive-backed Sunbird,Heard,2nd Mar (Friday),1118,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, Opposite Kent Ridge Guild House",Urban,1118-1128,Pacific Swallow,
Black-naped Oriole,Flyby,2nd Mar (Friday),1118,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, Opposite Kent Ridge Guild House",Urban,1118-1128,Pacific Swallow,
Black-naped Oriole,1,2nd Mar (Friday),1118,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, Opposite Kent Ridge Guild House",Urban,1118-1128,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1118,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, Opposite Kent Ridge Guild House",Urban,1118-1128,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1118,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, Opposite Kent Ridge Guild House",Urban,1118-1128,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1118,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, Opposite Kent Ridge Guild House",Urban,1118-1128,Pacific Swallow,
Yellow-vented Bulbul,Heard,2nd Mar (Friday),1118,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, Opposite Kent Ridge Guild House",Urban,1118-1128,Pacific Swallow,
Yellow-vented Bulbul,Heard,2nd Mar (Friday),1118,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, Opposite Kent Ridge Guild House",Urban,1118-1128,Pacific Swallow,
Yellow-vented Bulbul,Heard,2nd Mar (Friday),1118,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, Opposite Kent Ridge Guild House",Urban,1118-1128,Pacific Swallow,
Javan Myna,1,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Javan Myna,1,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Javan Myna,1,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Javan Myna,1,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Yellow-vented Bulbul,Heard,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Yellow-vented Bulbul,Heard,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Rock Pigeon,1,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Olive-backed Sunbird,1,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Olive-backed Sunbird,1,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Olive-backed Sunbird,1,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Black-naped Oriole,Heard,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Black-naped Oriole,Heard,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Black-naped Oriole,Heard,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Eagle,3,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
"""Parking car sound"" bird",1,2nd Mar (Friday),1130,Latitude: 1.293 | Longitude: 103.773,"Kent Ridge Dr, in front of Shaw Foundation Alumni House",Urban,1130-1140,Pacific Swallow,
Black-naped Oriole,Heard,2nd Mar (Friday),1148,Latitude: 1.291 | Longitude: 103.777,"Heng Mui Keng Terrace, ISEAS",Urban,1148-1158,Pacific Swallow,
Spotted Dove,1,2nd Mar (Friday),1148,Latitude: 1.291 | Longitude: 103.777,"Heng Mui Keng Terrace, ISEAS",Urban,1148-1158,Pacific Swallow,
Spotted Dove,1,2nd Mar (Friday),1148,Latitude: 1.291 | Longitude: 103.777,"Heng Mui Keng Terrace, ISEAS",Urban,1148-1158,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1148,Latitude: 1.291 | Longitude: 103.777,"Heng Mui Keng Terrace, ISEAS",Urban,1148-1158,Pacific Swallow,
"Large grey/black bird, suspected pigeon",Flyby,2nd Mar (Friday),1148,Latitude: 1.291 | Longitude: 103.777,"Heng Mui Keng Terrace, ISEAS",Urban,1148-1158,Pacific Swallow,
"Large grey/black bird, suspected pigeon",Flyby,2nd Mar (Friday),1148,Latitude: 1.291 | Longitude: 103.777,"Heng Mui Keng Terrace, ISEAS",Urban,1148-1158,Pacific Swallow,
"Large grey/black bird, suspected pigeon",Flyby,2nd Mar (Friday),1148,Latitude: 1.291 | Longitude: 103.777,"Heng Mui Keng Terrace, ISEAS",Urban,1148-1158,Pacific Swallow,
Black-naped Oriole,Heard,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Black-naped Oriole,Heard,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1210,Latitude: 1.294 | Longitude: 103.777,"Prince George's Park, Temasek Life Sciences",Urban,1210-1220,Pacific Swallow,
Javan Myna,2,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Javan Myna,2,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Javan Myna,2,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Javan Myna,2,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Javan Myna,2,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Yellow-vented Bulbul,Flyby,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Yellow-vented Bulbul,Flyby,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Rock Pigeon,3,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Black-naped Oriole,Heard,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Black-naped Oriole,Heard,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1225,Latitude: 1.291 | Longitude: 103.781,"Prince George's Park, Opposite Residences",Urban,1225-1235,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1241,Latitude: 1.297 | Longitude: 103.781,"Lower Kent Ridge Road, after roundabout",Urban,1241-1251,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1241,Latitude: 1.297 | Longitude: 103.781,"Lower Kent Ridge Road, after roundabout",Urban,1241-1251,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1241,Latitude: 1.297 | Longitude: 103.781,"Lower Kent Ridge Road, after roundabout",Urban,1241-1251,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1241,Latitude: 1.297 | Longitude: 103.781,"Lower Kent Ridge Road, after roundabout",Urban,1241-1251,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1241,Latitude: 1.297 | Longitude: 103.781,"Lower Kent Ridge Road, after roundabout",Urban,1241-1251,Pacific Swallow,
Javan Myna,1,2nd Mar (Friday),1241,Latitude: 1.297 | Longitude: 103.781,"Lower Kent Ridge Road, after roundabout",Urban,1241-1251,Pacific Swallow,
Yellow-vented Bulbul,Heard,2nd Mar (Friday),1241,Latitude: 1.297 | Longitude: 103.781,"Lower Kent Ridge Road, after roundabout",Urban,1241-1251,Pacific Swallow,
Yellow-vented Bulbul,1,2nd Mar (Friday),1241,Latitude: 1.297 | Longitude: 103.781,"Lower Kent Ridge Road, after roundabout",Urban,1241-1251,Pacific Swallow,
Black-naped Oriole,Heard,2nd Mar (Friday),1241,Latitude: 1.297 | Longitude: 103.781,"Lower Kent Ridge Road, after roundabout",Urban,1241-1251,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1241,Latitude: 1.297 | Longitude: 103.781,"Lower Kent Ridge Road, after roundabout",Urban,1241-1251,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1241,Latitude: 1.297 | Longitude: 103.781,"Lower Kent Ridge Road, after roundabout",Urban,1241-1251,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1241,Latitude: 1.297 | Longitude: 103.781,"Lower Kent Ridge Road, after roundabout",Urban,1241-1251,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1241,Latitude: 1.297 | Longitude: 103.781,"Lower Kent Ridge Road, after roundabout",Urban,1241-1251,Pacific Swallow,
Swiftlet,Flyby,2nd Mar (Friday),1241,Latitude: 1.297 | Longitude: 103.781,"Lower Kent Ridge Road, after roundabout",Urban,1241-1251,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1254,Latitude: 1.297 | Longitude: 103.783,"Lower Kent Ridge Road, opposite LT28",Urban,1254-1304,Pacific Swallow,
Javan Myna,Flyby,2nd Mar (Friday),1254,Latitude: 1.297 | Longitude: 103.783,"Lower Kent Ridge Road, opposite LT28",Urban,1254-1304,Pacific Swallow,
Javan Myna,1,2nd Mar (Friday),1254,Latitude: 1.297 | Longitude: 103.783,"Lower Kent Ridge Road, opposite LT28",Urban,1254-1304,Pacific Swallow,
Javan Myna,1,2nd Mar (Friday),1254,Latitude: 1.297 | Longitude: 103.783,"Lower Kent Ridge Road, opposite LT28",Urban,1254-1304,Pacific Swallow,
Javan Myna,1,2nd Mar (Friday),1254,Latitude: 1.297 | Longitude: 103.783,"Lower Kent Ridge Road, opposite LT28",Urban,1254-1304,Pacific Swallow,
Yellow-vented Bulbul,Heard,2nd Mar (Friday),1254,Latitude: 1.297 | Longitude: 103.783,"Lower Kent Ridge Road, opposite LT28",Urban,1254-1304,Pacific Swallow,
Rock Pigeon,2,2nd Mar (Friday),1254,Latitude: 1.297 | Longitude: 103.783,"Lower Kent Ridge Road, opposite LT28",Urban,1254-1304,Pacific Swallow,
Rock Pigeon,2,2nd Mar (Friday),1254,Latitude: 1.297 | Longitude: 103.783,"Lower Kent Ridge Road, opposite LT28",Urban,1254-1304,Pacific Swallow,
Rock Pigeon,2,2nd Mar (Friday),1254,Latitude: 1.297 | Longitude: 103.783,"Lower Kent Ridge Road, opposite LT28",Urban,1254-1304,Pacific Swallow,
"""Parking car sound"" bird",1,2nd Mar (Friday),1254,Latitude: 1.297 | Longitude: 103.783,"Lower Kent Ridge Road, opposite LT28",Urban,1254-1304,Pacific Swallow,
Large black bird,Flyby,2nd Mar (Friday),1254,Latitude: 1.297 | Longitude: 103.783,"Lower Kent Ridge Road, opposite LT28",Urban,1254-1304,Pacific Swallow,
Large black bird,Flyby,2nd Mar (Friday),1254,Latitude: 1.297 | Longitude: 103.783,"Lower Kent Ridge Road, opposite LT28",Urban,1254-1304,Pacific Swallow,
-,-,2nd Mar (Friday),1417,Latitude: 1.296 | Longitude: 103.780,Beside MD1,Urban,1417-1427,Pacific Swallow,
Javan Myna,1,2nd Mar (Friday),1430,Latitude: 1.297 | Longitude: 103.778,"Lower Kent Ridge Road, opposite University Hall",Urban,1430-1440,Pacific Swallow,
Javan Myna,1,2nd Mar (Friday),1430,Latitude: 1.297 | Longitude: 103.778,"Lower Kent Ridge Road, opposite University Hall",Urban,1430-1440,Pacific Swallow,
Yellow-vented Bulbul,Heard,2nd Mar (Friday),1430,Latitude: 1.297 | Longitude: 103.778,"Lower Kent Ridge Road, opposite University Hall",Urban,1430-1440,Pacific Swallow,
Yellow-vented Bulbul,1,2nd Mar (Friday),1430,Latitude: 1.297 | Longitude: 103.778,"Lower Kent Ridge Road, opposite University Hall",Urban,1430-1440,Pacific Swallow,
Olive-backed Sunbird,Heard,2nd Mar (Friday),1430,Latitude: 1.297 | Longitude: 103.778,"Lower Kent Ridge Road, opposite University Hall",Urban,1430-1440,Pacific Swallow,
Olive-backed Sunbird,1,2nd Mar (Friday),1430,Latitude: 1.297 | Longitude: 103.778,"Lower Kent Ridge Road, opposite University Hall",Urban,1430-1440,Pacific Swallow,
Olive-backed Sunbird,1,2nd Mar (Friday),1430,Latitude: 1.297 | Longitude: 103.778,"Lower Kent Ridge Road, opposite University Hall",Urban,1430-1440,Pacific Swallow,
Olive-backed Sunbird,1,2nd Mar (Friday),1430,Latitude: 1.297 | Longitude: 103.778,"Lower Kent Ridge Road, opposite University Hall",Urban,1430-1440,Pacific Swallow,
Black-naped Oriole,Heard,2nd Mar (Friday),1430,Latitude: 1.297 | Longitude: 103.778,"Lower Kent Ridge Road, opposite University Hall",Urban,1430-1440,Pacific Swallow,
